-4.0000000000E+01	-5.166961848793840E-04	-1.79672939164346E-03	-3.23684829905509E-03	-3.24285931378552E-04	9.74724130836208E-03
-3.9714480631E+01	-1.029697227045170E-03	-2.72091227553839E-03	-3.32943821355788E-03	2.45874025647571E-03	1.01860031469887E-02
-3.9433151401E+01	-2.059041496270210E-03	-3.68401677845580E-03	-1.84311482936694E-03	5.44963568190154E-03	3.61707200765845E-04
-3.9155950819E+01	-3.087330425720950E-03	-3.75034685467913E-03	-2.85654220676899E-04	2.66076451131851E-03	-1.05445399112919E-02
-3.8882818293E+01	-4.122981536883820E-03	-3.84122175353423E-03	-3.78808026196917E-04	-3.53373739909856E-04	-5.59115562340675E-03
-3.8613694124E+01	-5.170258638554530E-03	-3.95575804300414E-03	-4.77273496980207E-04	-3.71077058260691E-04	-7.82735673760461E-05
-3.8348519487E+01	-6.236538336085840E-03	-4.09622841310620E-03	-5.77074055359598E-04	-3.95195213500239E-04	-1.31788332714888E-04
-3.8087236420E+01	-7.326749643977960E-03	-4.25956312522672E-03	-6.85327061711331E-04	-4.40458041315759E-04	-1.04221048467728E-04
-3.7829787813E+01	-8.446108646543350E-03	-4.45172926706522E-03	-8.05553592458080E-04	-4.49257972437938E-04	-3.47478457115592E-05
-3.7576117393E+01	-9.602113175427790E-03	-4.67129689360026E-03	-9.14951359455805E-04	-4.58218326406197E-04	-1.96833614289411E-04
-3.7326169713E+01	-1.079865831263420E-02	-4.91251533230677E-03	-1.03632063538795E-03	-5.48386943282504E-04	-2.87479186056744E-04
-3.7079890140E+01	-1.203983716409870E-02	-5.18554743572603E-03	-1.18707590590194E-03	-6.00873333197810E-04	-9.37237916432078E-05
-3.6837224843E+01	-1.333410512947410E-02	-5.49293000679813E-03	-1.33011456917482E-03	-5.94212710403400E-04	-1.27559259754963E-04
-3.6598120781E+01	-1.468616253250570E-02	-5.82635587911395E-03	-1.47334938250264E-03	-6.62327476004474E-04	-3.13644514633509E-04
-3.6362525690E+01	-1.609987133036610E-02	-6.19232771074521E-03	-1.64452086104277E-03	-7.43099495843024E-04	-2.72093404741459E-04
-3.6130388075E+01	-1.758251672909140E-02	-6.59555207152294E-03	-1.82092132052054E-03	-7.89594460488950E-04	-3.39701780781042E-04
-3.5901657196E+01	-1.913955348066740E-02	-7.03153297742600E-03	-2.00842007091905E-03	-8.99657343960699E-04	-5.04879858492664E-04
-3.5676283056E+01	-2.077557114540450E-02	-7.50758570598761E-03	-2.22946023579330E-03	-1.01886293822247E-03	-4.14356076778018E-04
-3.5454216395E+01	-2.249875364253060E-02	-8.02908445112700E-03	-2.46430092010653E-03	-1.08505715885347E-03	-3.06328608435035E-04
-3.5235408673E+01	-2.431538879885000E-02	-8.59403285366591E-03	-2.70783414122256E-03	-1.15391537446152E-03	-4.66893112804673E-04
-3.5019812064E+01	-2.623203873491940E-02	-9.20537932970376E-03	-2.96556675638011E-03	-1.28787754916989E-03	-8.10874987278841E-04
-3.4807379443E+01	-2.825556022520100E-02	-9.86338210891289E-03	-3.25908337692803E-03	-1.50099357089274E-03	-8.17613486642104E-04
-3.4598064377E+01	-3.039189732535060E-02	-1.05798902056633E-02	-3.59860732310599E-03	-1.63270414602120E-03	-5.45134097275538E-04
-3.4391821114E+01	-3.265212172006990E-02	-1.13588133548299E-02	-3.93756718359998E-03	-1.72752858543749E-03	-8.48814571952864E-04
-3.4188604574E+01	-3.504287480393300E-02	-1.21921656889594E-02	-4.30596083737609E-03	-1.98025959343655E-03	-1.26317922236713E-03
-3.3988370338E+01	-3.757106042840120E-02	-1.30960565960949E-02	-4.73650445325340E-03	-2.23715922292858E-03	-1.16167475770717E-03
-3.3791074640E+01	-4.024894931823900E-02	-1.40750679916519E-02	-5.19529859561439E-03	-2.44206008319736E-03	-1.14568022131478E-03
-3.3596674355E+01	-4.308420802118320E-02	-1.51310341864827E-02	-5.69304957808647E-03	-2.68591756342014E-03	-1.45781679073164E-03
-3.3405126991E+01	-4.608873638945060E-02	-1.62722870919548E-02	-6.23192216462419E-03	-3.00470104625295E-03	-1.75759353720406E-03
